,Restaurant,Inspection Date,Inspection Score,Street Address,Zip,Lat,Long,G.Lat,G.Long
5386,WHOLE FOODS MARKET-SUSHI,07/08/2019,100,14225 COIT,75230,42.029003,-83.79561,32.9235357,-96.76931909999999
5387,WHOLE FOODS MARKET-SUSHI,01/09/2019,100,14225 COIT RD,75230,42.029003,-83.79561,32.9235357,-96.76931909999999
5389,WHOLEFOODS MARKET/CHEESE,02/28/2019,100,3627 BONNIE VIEW RD #B,75214,32.81566,-96.752887,32.7139056,-96.776315
5394,WHOLEFOODS MARKET/MEAT SMOKEHOUSE,02/28/2019,100,3628 FRANKFORD RD #295,75214,32.81566,-96.752887,32.9955472,-96.85439780000002
5411,WILLIAMS FRIED CHICKEN,05/22/2019,100,7777 FOREST LN BLDG #A,75229,32.881015999999995,-96.878626,32.912187,-96.77445329999999
5423,WINE PRESS/RED BULL,02/19/2019,100,511 N GILPIN AVE,75201,32.790079999999996,-96.811316,32.7491275,-96.8809048
5442,WINGSTOP,07/10/2019,100,2425 MCKINNEY AVE,75248,0.0,0.0,32.7952348,-96.8027355
5465,WM B TRAVIS SCHOOL,05/23/2019,100,8008 CEDAR SPRINGS RD C2063,75204,32.801648,-96.80098199999999,32.8159973,-96.817484
5469,WM H ATWELL JR HIGH,05/29/2019,100,1894 ROYAL LN #102,75233,32.676699,-96.84388100000001,32.8948071,-96.91495549999999
5480,WOLFGANG PUCK (5th FL BARS),07/08/2019,100,4544 MCKINNEY AVE,75201,32.790411,-96.796982,32.8224173,-96.787441
5482,WOLFGANG PUCK (WYLY MAIN STAGE),07/08/2019,100,451 W DAVIS ST,75201,32.790321999999996,-96.797076,32.7496249,-96.8300542
5483,WOLFGANG PUCK 10TH FL (LOUNGE & PATIO),07/08/2019,100,4510 TRINITY MILLS RD,75201,32.790321999999996,-96.797076,32.9896435,-96.8303056
5484,WOLFGANG PUCK 6th FL (BAR COMMISSARY & STORAGE),07/08/2019,100,4510 W JEFFERSON ST,75201,32.790321999999996,-96.797076,32.735925,-96.8946715
5492,WOLFGANG PUCK LEVEL 17 CLOUD 9 KITCHEN,04/25/2019,100,7887 MCCALLUM BLVD,75202,32.774443,-96.808332,32.9882916,-96.7686804
5493,WOLFGANG PUCK LEVEL 18 FIVE SIXTY KITCHEN,12/22/2019,100,7900 BROOKRIVER DR,75202,32.774443,-96.808332,32.8190889,-96.86395859999999
5496,WOLFGANG PUCK LEVEL 9 PANTRY,07/08/2019,100,4511 MCKINNEY AVE,75201,32.790321999999996,-96.797076,32.8216282,-96.7885136
5520,YOGURTLAND,02/05/2019,100,2018 ALLEN ST,75240,32.930161,-96.820963,32.7955154,-96.7953448
5521,YOGURTLAND - DALLAS (LAKEWOOD),12/11/2019,100,3036 ELM ST #100,75214,28.836494000000002,-81.654504,32.7852866,-96.7793722
5544,ZAN WESLEY HOLMES JR. MIDDLE,05/24/2019,100,7700 W NORTHWEST HWY,75233,32.712044,-96.86624300000001,32.8642534,-96.77451959999999
5557,ZODIAC RESTAURANT BAR,10/10/2019,100,2534 ROYAL LN #A-14,75201,37.375563,-120.723492,32.8951633,-96.8945916
