restaurant_name,inspection_type,inspection_date,inspection_score,zip_code,street_address,inspection_month,inspection_year
THE DONUT SHOP,Routine,10/07/2019,85,75235,1820 W MOCKINGBIRD LN 14,Oct 2019,FY2020
PRESTONWOOD COFFEE SHOP,Routine,10/17/2019,96,75254,5151 BELTLINE RD #347,Oct 2019,FY2020
YUMILICIOUS,Routine,10/15/2019,83,75206,5521 GREENVILLE AVE #111,Oct 2019,FY2020
LA MICHOACANA/CARNICERIA,Routine,10/24/2017,92,75240,8702 SPRING VALLEY RD #C,Oct 2017,FY2018
DALLAS PETRO CLUB MAIN BAR/KITCHEN,Routine,07/03/2019,98,75201,2200 ROSS AVE 3900,Jul 2019,FY2019
ST MARY OF CARMEL SCHOOL,Routine,10/22/2019,85,75212,1716 SINGLETON BLVD,Oct 2019,FY2020
GUCKENHEIMER @ TEXAS INSTRUMENTS SC BLDG,Routine,11/01/2019,91,75243,13532 N CENTRAL EXPW,Nov 2019,FY2020
MESO MAYA RESTAURANT,Routine,10/22/2019,87,75252,11909 PRESTON RD 1426,Oct 2019,FY2020
TRULUCK'S SEAFOOD STEAK CRABHOUSE,Routine,10/16/2019,97,75201,2401 MCKINNEY AVE,Oct 2019,FY2020
DAIRY QUEEN RESTAURANT,Routine,10/04/2019,91,75217,332 S ST AUGUSTINE RD,Oct 2019,FY2020
BULLION BAR/ GRAB N GO,Routine,11/07/2019,90,75202,400 S RECORD,Nov 2019,FY2020
UNREFINED BAKERY,Routine,10/16/2019,85,75214,6464 E NORTHWEST HWY #326,Oct 2019,FY2020
CJ & ANN HYMAN ELEMENTARY,Routine,11/13/2019,98,75249,8441 FOXCREEK TRL,Nov 2019,FY2020
